id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,qNone_PassEndY,qNone_Length,qNone_PassEndX,qNone_Angle,qNone_Zone,qNone_Longball,qNone_Defensive,qNone_OppositeRelatedEvent,qNone_Offensive,qNone_Chipped,qNone_LeftFoot,qNone_Cross,qNone_Head,qNone_MissLeft,qNone_MissRight,qNone_CornerTaken,qNone_RightFoot,qNone_ThrowIn,qNone_OverRun,qNone_LayOff,qNone_GoalKick,qNone_PlayerCaughtOffside,qNone_FreekickTaken,qNone_IndirectFreekickTaken,qNone_Foul,qNone_HeadPass,qNone_MissHigh,qNone_StandingSave,qNone_IntentionalAssist,qNone_ShotAssist,qNone_BigChanceCreated,qNone_KeyPass,qNone_GoalMouthY,qNone_BoxCentre,qNone_FirstTouch,qNone_FromCorner,qNone_BigChance,qNone_RelatedEventId,qNone_Assisted,qNone_GoalMouthZ,qNone_KeeperThrow,qNone_SmallBoxCentre,qNone_RegularPlay,qNone_Blocked,qNone_BlockedY,qNone_BlockedX,qNone_LowRight,qNone_OutfielderBlock,qNone_GoalDisallowed,qNone_LeadingToAttempt,qNone_OutOfBoxCentre,qNone_IndividualPlay,qNone_HighClaim,qNone_LowLeft,qNone_LowCentre,qNone_Volley,qNone_Throughball,qNone_IntentionalGoalAssist,qNone_BlockedCross,qNone_LeadingToGoal,qNone_FastBreak,qNone_BoxLeft,qNone_Yellow,qNone_HighCentre,qNone_SetPiece,qNone_ParriedSafe,qNone_Hands,qNone_KeeperSaveInTheBox,qNone_PlayerPosition,qNone_JerseyNumber,qNone_FormationSlot,qNone_InvolvedPlayers,qNone_TeamPlayerFormation,qNone_CaptainPlayerId,qNone_TeamFormation,qNone_DivingSave,qNone_HighRight,qNone_DirectFreekick,qNone_BoxRight,qNone_Collected
2835691353.00,30,2,26.00,167,46.30,13.10,2,FirstHalf,Pass,Successful,"[91, 117, 30, 35, 37, 216, 218]",True,430709.00,35.50,17.20,,,,,,,,,,17.2,11.7,35.5,2.90,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691475.00,31,2,28.00,167,34.20,19.00,2,FirstHalf,Pass,Successful,"[91, 117, 30, 35, 37, 215, 218]",True,444791.00,28.30,46.30,,,,,,,,,,46.3,19.6,28.3,1.89,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691593.00,32,2,35.00,167,29.60,41.10,2,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 37, 216, 218]",True,313171.00,36.70,53.00,,,,,,,,,,53.0,11.0,36.7,0.83,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691629.00,33,2,41.00,167,51.60,67.30,2,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 36, 37, 216, 218]",True,444791.00,58.40,75.80,,,,,,,,,,75.8,9.2,58.4,0.68,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691645.00,34,2,42.00,167,63.20,73.50,2,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 35, 37, 216, 218]",True,136741.00,57.50,86.50,,,,,,,,,,86.5,10.7,57.5,2.17,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691693.00,35,2,43.00,167,57.50,86.50,2,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 36, 37, 216, 218]",True,355401.00,65.90,94.70,,,,,,,,,,94.7,10.4,65.9,0.56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691701.00,36,2,46.00,167,66.70,94.50,2,FirstHalf,TakeOn,Unsuccessful,"[91, 204]",True,388098.00,,,,,,,,,,,,,,,,Left,,,,1.00,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691717.00,13,2,47.00,161,24.20,11.00,2,FirstHalf,BallRecovery,Successful,[93],False,94042.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691755.00,14,2,47.00,161,24.20,11.00,2,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 37, 216, 218]",True,94042.00,34.20,14.30,,,,,,,,,,14.3,10.7,34.2,0.21,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691769.00,15,2,48.00,161,33.50,11.90,2,FirstHalf,Pass,Successful,"[91, 117, 30, 35, 38, 215, 218]",True,377411.00,30.20,8.40,,,,,,,,,,8.4,4.2,30.2,3.74,Back,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
