playerId,shirtNo,name,position,height,weight,age,isFirstEleven,isManOfTheMatch,field,subbedInPlayerId,subbedOutPeriod,subbedOutExpandedMinute,subbedInPeriod,subbedInExpandedMinute,subbedOutPlayerId,s_totalSaves,s_parriedDanger,s_claimsHigh,s_possession,s_ratings,s_touches,s_passesTotal,s_passesAccurate,s_clearances,s_passesKey,s_cornersTotal,s_throwInsTotal,s_throwInsAccurate,s_tacklesTotal,s_tackleUnsuccesful,s_dribbledPast,s_dribblesWon,s_dribblesAttempted,s_dribblesLost,s_dispossessed,s_shotsTotal,s_shotsBlocked,s_interceptions,s_aerialsTotal,s_aerialsWon,s_offensiveAerials,s_foulsCommited,s_tackleSuccessful,s_shotsOffTarget,s_defensiveAerials,s_cornersAccurate,s_shotsOnPost,s_shotsOnTarget,teamId,s_offsidesCaught,s_errors,s_passSuccess,s_dribbleSuccess,s_tackleSuccess,s_aerialSuccess,s_throwInAccuracy
448284,32,Andrés Castrín,DC,188,83,22,1.0,False,away,130334.00,"{'value': 2, 'displayName': 'SecondHalf'}",73.00,,,,,,,1.44,6.22,52.00,39.00,37.00,4.00,,,,,1.00,1.00,1.00,,,,,,,3.00,2.00,1.00,,1.00,,,2.00,,,,67,,,94.87,,,50.00,
422956,2,José Ángel Carmona,DL,184,80,23,1.0,False,away,,,,,,,,,,1.37,6.36,61.00,36.00,30.00,4.00,1.00,,8.00,6.00,,,,1.00,3.00,2.00,,1.00,,2.00,,,,,,,,,,1.00,67,,,83.33,33.33,,,75.00
77417,6,Nemanja Gudelj,DMC,187,79,33,1.0,False,away,318120.00,"{'value': 2, 'displayName': 'SecondHalf'}",84.00,,,,,,,1.52,6.35,63.00,46.00,42.00,2.00,,,,,4.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,,1.00,2.00,2.00,1.00,1.00,3.00,,1.00,,,1.00,67,,,91.30,50.00,75.00,100.00,
299490,10,Dodi Lukébakio,MR,187,77,27,1.0,False,away,,,,,,,,,,1.46,6.32,51.00,35.00,29.00,,2.00,,1.00,1.00,,,,,1.00,1.00,1.00,2.00,,1.00,,,,2.00,,1.00,,,,1.00,67,,,82.86,,,,100.00
388505,18,Lucien Agoumé,MC,185,72,23,1.0,False,away,,,,,,,,,,1.56,6.34,77.00,60.00,48.00,4.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,,,1.00,,3.00,,,,3.00,1.00,,,,,1.00,67,,,80.00,100.00,50.00,,100.00
317630,20,Djibril Sow,MC,183,76,28,1.0,False,away,492362.00,"{'value': 2, 'displayName': 'SecondHalf'}",89.00,,,,,,,1.11,5.93,47.00,28.00,24.00,,,,,,7.00,2.00,2.00,,2.00,2.00,2.00,1.00,,1.00,1.00,,,1.00,5.00,1.00,1.00,1.00,,,67,1.00,1.00,85.71,,71.43,,
516051,27,Stanis Idumbo,ML,170,60,20,1.0,False,away,337022.00,"{'value': 2, 'displayName': 'SecondHalf'}",48.00,,,,,,,1.00,6.03,18.00,11.00,7.00,,1.00,,,,2.00,1.00,1.00,,1.00,1.00,,1.00,1.00,,1.00,,,,1.00,,1.00,,,,67,,,63.64,,50.00,,
408616,9,Akor Adams,FW,190,92,25,1.0,False,away,,,,,,,,,,1.18,6.37,25.00,12.00,9.00,4.00,1.00,,,,,,,1.00,1.00,,,3.00,,,2.00,,2.00,,,1.00,,,,2.00,67,5.00,,75.00,100.00,,,
130334,24,Adnan Januzaj,Sub,186,76,30,,False,away,,,,"{'value': 2, 'displayName': 'SecondHalf'}",73.00,448284.00,,,,1.12,6.06,11.00,9.00,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,88.89,,,,
318120,23,Marcão,Sub,185,80,29,,False,away,,,,"{'value': 2, 'displayName': 'SecondHalf'}",84.00,77417.00,,,,2.33,6.08,23.00,21.00,20.00,2.00,,,,,,,,,,,,,,,1.00,1.00,,,,,1.00,,,,67,,,95.24,,,100.00,
337022,21,Chidera Ejuke,Sub,176,72,27,,False,away,,,,"{'value': 2, 'displayName': 'SecondHalf'}",48.00,516051.00,,,,1.12,6.27,27.00,18.00,14.00,,2.00,,,,1.00,,,1.00,2.00,1.00,1.00,1.00,,,,,,,1.00,1.00,,,,,67,1.00,,77.78,50.00,100.00,,
492362,7,Isaac Romero,Sub,184,70,25,,False,away,,,,"{'value': 2, 'displayName': 'SecondHalf'}",89.00,317630.00,,,,1.00,6.04,10.00,4.00,3.00,,,,,,2.00,,,,1.00,1.00,,1.00,1.00,,,,,,2.00,,,,,,67,,,75.00,,100.00,,
363966,3,Adrià Pedrosa,Sub,176,69,27,,False,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,
431508,31,Alberto Flores,Sub,186,80,21,,False,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,
469547,28,Manu Bueno,Sub,178,73,21,,False,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,
507590,29,Miguel Sierra,Sub,0,0,21,,False,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,
405799,33,Rafael Romero,Sub,192,75,22,,False,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,
464952,14,Peque Fernández,Sub,172,66,22,,False,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,
578539,39,Edu Altozano,Sub,0,0,18,,False,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,
